GEO_ID,NAME,B08130_001E,B08130_001M,B08130_002E,B08130_002M,B08130_003E,B08130_003M,B08130_004E,B08130_004M,B08130_005E,B08130_005M,B08130_006E,B08130_006M,B08130_007E,B08130_007M,B08130_008E,B08130_008M,B08130_009E,B08130_009M,B08130_010E,B08130_010M,B08130_011E,B08130_011M,B08130_012E,B08130_012M,B08130_013E,B08130_013M,B08130_014E,B08130_014M,B08130_015E,B08130_015M,B08130_016E,B08130_016M,B08130_017E,B08130_017M,B08130_018E,B08130_018M,B08130_019E,B08130_019M,B08130_020E,B08130_020M,B08130_021E,B08130_021M,B08130_022E,B08130_022M,B08130_023E,B08130_023M,B08130_024E,B08130_024M,B08130_025E,B08130_025M,B08130_026E,B08130_026M,B08130_027E,B08130_027M,B08130_028E,B08130_028M,B08130_029E,B08130_029M,B08130_030E,B08130_030M,B08130_031E,B08130_031M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Worked in state of residence,Margin of Error!!Total!!Worked in state of residence,Estimate!!Total!!Worked in state of residence!!Worked in county of residence,Margin of Error!!Total!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Worked in state of residence!!Worked outside county of residence,Margin of Error!!Total!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Worked outside state of residence,Margin of Error!!Total!!Worked outside state of residence,"Estimate!!Total!!Car, truck, or van - drove alone","Margin of Error!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked outside state of residence","Margin of Error!!Total!!Car, truck, or van - drove alone!!Worked outside state of residence","Estimate!!Total!!Car, truck, or van - carpooled","Margin of Error!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked outside state of residence","Margin of Error!!Total!!Car, truck, or van - carpooled!!Worked outside state of residence",Estimate!!Total!!Public transportation (excluding taxicab),Margin of Error!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked in county of residence,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked outside county of residence,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked outside state of residence,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Worked outside state of residence,Estimate!!Total!!Walked,Margin of Error!!Total!!Walked,Estimate!!Total!!Walked!!Worked in state of residence,Margin of Error!!Total!!Walked!!Worked in state of residence,Estimate!!Total!!Walked!!Worked in state of residence!!Worked in county of residence,Margin of Error!!Total!!Walked!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Walked!!Worked in state of residence!!Worked outside county of residence,Margin of Error!!Total!!Walked!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Walked!!Worked outside state of residence,Margin of Error!!Total!!Walked!!Worked outside state of residence,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked in county of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked outside county of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked outside state of residence","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked outside state of residence",Estimate!!Total!!Worked at home,Margin of Error!!Total!!Worked at home
0500000US01001,"Autauga County, Alabama",24325,553,24204,569,8842,682,15362,767,121,76,20911,765,20821,757,7082,663,13739,812,90,57,2329,450,2321,447,905,266,1416,385,8,44,14,16,14,16,14,16,0,27,0,27,145,109,137,108,126,106,11,14,8,13,325,190,310,191,114,83,196,163,15,21,601,179
0500000US01003,"Baldwin County, Alabama",87837,1690,82091,1629,64615,1557,17476,1109,5746,806,74415,1978,69922,1929,53498,1885,16424,1066,4493,605,6693,907,5821,854,4859,786,962,235,872,432,95,87,71,80,58,78,13,21,24,38,673,241,645,236,628,235,17,28,28,36,1000,356,671,297,611,290,60,70,329,146,4961,688
0500000US01005,"Barbour County, Alabama",8683,450,8321,450,6520,440,1801,232,362,100,7242,413,6913,413,5338,408,1575,203,329,90,966,192,961,193,785,160,176,94,5,11,22,35,22,35,0,21,22,35,0,21,188,96,180,93,176,93,4,7,8,12,150,74,130,66,106,65,24,22,20,31,115,50
0500000US01007,"Bibb County, Alabama",8024,477,7969,479,3147,452,4822,489,55,39,6930,504,6879,504,2717,408,4162,450,51,40,766,290,766,290,172,118,594,275,0,21,53,46,49,47,24,32,25,31,4,7,21,27,21,27,21,27,0,21,0,21,136,82,136,82,95,77,41,36,0,21,118,71
0500000US01009,"Blount County, Alabama",21230,713,21105,713,6981,557,14124,674,125,43,18426,719,18349,714,5747,451,12602,711,77,38,2162,407,2131,410,670,201,1461,315,31,31,29,42,29,42,5,9,24,40,0,27,93,70,93,70,93,70,0,27,0,27,79,41,62,36,25,24,37,28,17,19,441,153
0500000US01011,"Bullock County, Alabama",4290,386,4252,388,2301,376,1951,319,38,29,3135,417,3124,416,1477,311,1647,364,11,14,674,238,664,238,438,183,226,133,10,12,11,18,11,18,0,18,11,18,0,18,265,194,265,194,256,190,9,16,0,18,75,129,58,128,0,18,58,128,17,23,130,107
0500000US01013,"Butler County, Alabama",7623,329,7425,322,5708,354,1717,231,198,98,6370,353,6280,354,4844,346,1436,204,90,55,963,211,860,188,596,155,264,137,103,80,0,21,0,21,0,21,0,21,0,21,67,35,67,35,63,35,4,7,0,21,72,39,67,39,54,34,13,14,5,7,151,63
0500000US01015,"Calhoun County, Alabama",46289,1082,45056,1049,35852,1312,9204,738,1233,245,39356,1027,38593,995,30731,1179,7862,675,763,181,4238,470,3937,453,2704,390,1233,246,301,139,115,70,87,60,87,60,0,27,28,30,585,166,576,169,549,165,27,36,9,13,514,179,382,149,300,131,82,78,132,90,1481,332
0500000US01017,"Chambers County, Alabama",14241,463,9836,509,5785,446,4051,386,4405,391,12405,466,8293,459,4889,441,3404,339,4112,385,1377,277,1096,236,505,146,591,191,281,141,23,23,11,15,11,15,0,24,12,19,88,83,88,83,68,73,20,31,0,24,68,56,68,56,32,35,36,45,0,24,280,120
0500000US01019,"Cherokee County, Alabama",9731,420,7201,428,4784,463,2417,353,2530,330,8269,474,6138,482,4125,445,2013,340,2131,311,1174,310,811,239,407,142,404,196,363,177,38,36,27,33,27,33,0,21,11,17,29,30,29,30,29,30,0,21,0,21,25,26,0,21,0,21,0,21,25,26,196,107
0500000US01021,"Chilton County, Alabama",17386,670,17006,680,8097,641,8909,608,380,196,14461,696,14205,697,6686,570,7519,539,256,146,2192,413,2068,415,904,242,1164,321,124,124,18,33,18,33,0,24,18,33,0,24,109,64,109,64,71,53,38,40,0,24,306,173,306,173,136,89,170,134,0,24,300,139
0500000US01023,"Choctaw County, Alabama",4230,284,2958,257,2398,243,560,138,1272,239,3460,268,2470,251,1997,233,473,132,990,213,580,164,327,125,245,119,82,43,253,118,0,18,0,18,0,18,0,18,0,18,74,37,71,37,71,37,0,18,3,5,49,29,23,17,18,16,5,8,26,25,67,46
0500000US01025,"Clarke County, Alabama",7805,551,7457,506,5741,543,1716,267,348,149,6530,517,6302,500,4916,523,1386,229,228,114,926,200,835,202,505,152,330,127,91,67,12,24,0,21,0,21,0,21,12,24,58,44,58,44,58,44,0,21,0,21,210,122,193,122,193,122,0,21,17,19,69,43
0500000US01027,"Clay County, Alabama",5402,308,5142,304,3319,327,1823,258,260,130,4728,374,4472,364,2786,354,1686,253,256,130,326,125,322,124,191,87,131,87,4,7,0,18,0,18,0,18,0,18,0,18,153,149,153,149,147,149,6,9,0,18,31,45,31,45,31,45,0,18,0,18,164,90
0500000US01029,"Cleburne County, Alabama",5469,273,3156,258,1735,235,1421,210,2313,241,4475,299,2567,232,1246,199,1321,209,1908,202,791,168,386,129,286,104,100,51,405,135,1,4,1,4,1,4,0,18,0,18,49,39,49,39,49,39,0,18,0,18,7,11,7,11,7,11,0,18,0,18,146,64
0500000US01031,"Coffee County, Alabama",22159,485,21690,483,13479,554,8211,513,469,99,19200,518,18832,527,11329,537,7503,484,368,97,1802,347,1784,346,1158,253,626,216,18,19,3,4,0,27,0,27,0,27,3,4,227,98,219,98,219,98,0,27,8,6,311,82,239,76,157,64,82,42,72,28,616,120
0500000US01033,"Colbert County, Alabama",21809,762,21144,786,14547,651,6597,612,665,183,19426,705,18845,721,12798,573,6047,591,581,173,1594,284,1536,287,1021,251,515,133,58,46,22,23,22,23,22,23,0,27,0,27,161,79,161,79,157,80,4,6,0,27,176,84,150,82,119,76,31,30,26,30,430,192
0500000US01035,"Conecuh County, Alabama",3897,299,3742,298,2209,291,1533,294,155,78,3506,296,3359,292,1957,277,1402,281,147,77,263,96,255,95,138,76,117,52,8,12,14,19,14,19,7,11,7,9,0,18,30,24,30,24,23,22,7,13,0,18,16,21,16,21,16,21,0,18,0,18,68,71
0500000US01037,"Coosa County, Alabama",3750,335,3730,335,750,212,2980,326,20,18,3120,338,3109,338,446,158,2663,340,11,14,365,104,365,104,59,41,306,104,0,18,24,37,24,37,24,37,0,18,0,18,62,54,62,54,51,43,11,18,0,18,21,19,12,14,12,14,0,18,9,13,158,85
0500000US01039,"Covington County, Alabama",14532,479,13155,489,11316,496,1839,232,1377,220,12609,459,11651,478,9989,476,1662,218,958,180,1250,200,927,161,770,142,157,72,323,117,26,28,10,11,10,11,0,24,16,24,159,82,157,82,157,82,0,24,2,4,212,73,134,60,114,59,20,19,78,40,276,92
0500000US01041,"Crenshaw County, Alabama",5611,258,5438,257,2940,261,2498,224,173,80,4556,260,4444,264,2377,258,2067,201,112,64,685,180,624,178,214,81,410,146,61,54,6,10,6,10,6,10,0,18,0,18,95,55,95,55,87,54,8,12,0,18,43,31,43,31,30,25,13,15,0,18,226,94
0500000US01043,"Cullman County, Alabama",31603,1032,31063,1024,21982,967,9081,699,540,163,27897,915,27445,915,19445,903,8000,598,452,156,2642,426,2595,423,1539,267,1056,318,47,37,35,35,35,35,35,35,0,27,0,27,198,101,198,101,198,101,0,27,0,27,191,82,150,71,125,64,25,30,41,34,640,146
0500000US01045,"Dale County, Alabama",20282,511,19854,542,11629,565,8225,580,428,133,17670,546,17404,560,9925,579,7479,548,266,101,1366,200,1321,189,736,158,585,147,45,45,28,45,28,45,14,22,14,22,0,24,421,174,410,173,407,172,3,4,11,16,358,126,252,103,108,56,144,87,106,72,439,208
0500000US01047,"Dallas County, Alabama",14063,472,13965,482,11745,502,2220,326,98,57,12177,483,12099,490,10097,461,2002,321,78,53,1248,243,1228,243,1038,225,190,84,20,25,28,44,28,44,28,44,0,24,0,24,246,112,246,112,240,112,6,9,0,24,191,116,191,116,169,106,22,27,0,24,173,71
0500000US01049,"DeKalb County, Alabama",28110,716,26094,715,19799,867,6295,580,2016,282,24322,746,22589,734,17077,823,5512,531,1733,268,2748,411,2500,387,1738,299,762,253,248,125,12,15,12,15,12,15,0,27,0,27,252,89,252,89,244,89,8,13,0,27,178,140,143,137,130,130,13,18,35,32,598,170
0500000US01051,"Elmore County, Alabama",32647,1117,32243,1107,10395,844,21848,924,404,153,28144,1153,27800,1142,8396,748,19404,924,344,142,3345,528,3340,528,1030,313,2310,410,5,7,46,52,46,52,18,28,28,42,0,27,185,139,185,139,185,139,0,27,0,27,211,112,156,92,50,46,106,79,55,58,716,179
0500000US01053,"Escambia County, Alabama",11916,551,10853,569,9171,552,1682,274,1063,246,10879,530,9839,539,8294,544,1545,258,1040,244,832,224,809,225,672,204,137,99,23,24,12,18,12,18,12,18,0,24,0,24,31,26,31,26,31,26,0,24,0,24,63,45,63,45,63,45,0,24,0,24,99,55
0500000US01055,"Etowah County, Alabama",40402,1064,39936,1064,29626,1080,10310,677,466,145,34279,1074,33913,1086,24666,1067,9247,660,366,130,3703,454,3639,450,2639,409,1000,227,64,64,105,72,95,68,55,37,40,57,10,15,256,126,256,126,250,125,6,9,0,27,279,120,253,113,236,109,17,22,26,29,1780,349
0500000US01057,"Fayette County, Alabama",6203,336,6150,345,3315,329,2835,334,53,37,5224,346,5183,351,2742,294,2441,303,41,33,717,178,705,172,311,135,394,123,12,19,0,18,0,18,0,18,0,18,0,18,79,52,79,52,79,52,0,18,0,18,33,26,33,26,33,26,0,18,0,18,150,71
0500000US01059,"Franklin County, Alabama",12456,453,11573,472,7828,497,3745,398,883,202,10576,498,9845,515,6663,451,3182,371,731,162,1255,258,1185,256,834,222,351,120,70,39,27,27,27,27,27,27,0,24,0,24,28,26,28,26,28,26,0,24,0,24,339,244,257,229,45,41,212,230,82,96,231,135
0500000US01061,"Geneva County, Alabama",10204,443,9361,446,4658,368,4703,321,843,186,8522,477,7906,477,3669,391,4237,307,616,153,1054,240,939,224,532,176,407,142,115,52,4,6,0,21,0,21,0,21,4,6,60,50,48,45,45,45,3,4,12,20,247,124,151,88,95,80,56,39,96,82,317,99
0500000US01063,"Greene County, Alabama",2402,271,2384,266,941,178,1443,243,18,24,1922,226,1904,223,763,162,1141,175,18,24,308,177,308,177,21,25,287,176,0,16,0,16,0,16,0,16,0,16,0,16,27,21,27,21,27,21,0,16,0,16,46,36,46,36,31,35,15,16,0,16,99,67
0500000US01065,"Hale County, Alabama",5148,416,5135,416,1949,219,3186,370,13,11,4656,439,4643,440,1723,220,2920,380,13,11,302,102,302,102,66,44,236,88,0,18,0,18,0,18,0,18,0,18,0,18,16,22,16,22,16,22,0,18,0,18,74,64,74,64,44,57,30,26,0,18,100,53
0500000US01067,"Henry County, Alabama",6865,297,6516,315,2811,289,3705,333,349,127,5900,330,5600,337,2254,273,3346,330,300,125,513,143,497,143,157,71,340,123,16,25,0,18,0,18,0,18,0,18,0,18,48,54,48,54,48,54,0,18,0,18,228,136,195,135,176,133,19,19,33,36,176,96
0500000US01069,"Houston County, Alabama",43572,521,41457,569,36414,529,5043,247,2115,217,38860,537,36985,571,32365,523,4620,238,1875,204,2987,230,2802,225,2406,202,396,78,185,71,56,29,52,29,52,29,0,27,4,6,304,79,300,79,300,79,0,27,4,4,366,71,319,68,292,68,27,13,47,19,999,115
0500000US01071,"Jackson County, Alabama",19975,713,16763,658,12761,700,4002,421,3212,456,17383,726,14547,683,10902,643,3645,379,2836,430,1686,323,1371,305,1040,291,331,135,315,119,12,15,12,15,10,15,2,3,0,27,259,124,259,124,259,124,0,27,0,27,172,66,111,53,87,49,24,22,61,46,463,124
0500000US01073,"Jefferson County, Alabama",295958,2477,293234,2489,260080,2459,33154,1339,2724,394,249744,2784,247684,2774,217516,2668,30168,1256,2060,333,27960,1498,27677,1486,24827,1474,2850,401,283,136,2776,436,2743,429,2702,427,41,33,33,35,4057,422,3968,406,3932,405,36,42,89,70,3034,441,2775,403,2716,404,59,39,259,141,8387,726
0500000US01075,"Lamar County, Alabama",5317,309,3929,327,2678,278,1251,214,1388,273,4485,290,3328,317,2290,281,1038,181,1157,230,732,171,501,149,292,126,209,91,231,127,30,40,30,40,30,40,0,18,0,18,13,15,13,15,13,15,0,18,0,18,5,7,5,7,1,2,4,6,0,18,52,27
0500000US01077,"Lauderdale County, Alabama",39262,953,37888,1002,27535,925,10353,698,1374,309,34550,923,33424,964,24133,978,9291,687,1126,284,3010,419,2820,413,1808,316,1012,242,190,87,66,59,66,59,66,59,0,27,0,27,659,267,650,266,650,266,0,27,9,14,272,108,223,103,173,94,50,41,49,44,705,168
0500000US01079,"Lawrence County, Alabama",12300,480,12229,487,4344,422,7885,482,71,48,10657,457,10629,461,3624,366,7005,459,28,25,1144,257,1112,260,314,126,798,231,32,31,15,25,15,25,0,24,15,25,0,24,116,66,105,65,73,55,32,38,11,18,63,54,63,54,28,27,35,48,0,24,305,124
0500000US01081,"Lee County, Alabama",70876,1217,57192,1307,47942,1287,9250,802,13684,903,60067,1410,47673,1461,39225,1318,8448,770,12394,867,5723,721,4684,665,3982,639,702,188,1039,253,532,172,497,164,452,152,45,41,35,40,1350,262,1336,260,1313,260,23,27,14,20,715,197,513,168,481,166,32,31,202,96,2489,375
0500000US01083,"Limestone County, Alabama",38648,959,37511,940,17450,888,20061,805,1137,219,34130,1036,33157,1028,14791,967,18366,842,973,196,2913,413,2801,400,1208,287,1593,324,112,80,30,32,30,32,30,32,0,27,0,27,199,106,199,106,199,106,0,27,0,27,310,130,258,120,156,76,102,84,52,44,1066,264
0500000US01085,"Lowndes County, Alabama",3421,237,3404,240,1044,176,2360,261,17,19,2889,253,2881,252,778,158,2103,252,8,11,380,136,380,136,159,81,221,103,0,18,15,13,15,13,6,6,9,10,0,18,11,14,11,14,11,14,0,18,0,18,66,52,57,50,30,39,27,29,9,15,60,45
0500000US01087,"Macon County, Alabama",7178,353,7076,348,3483,289,3593,286,102,46,5689,393,5596,386,2514,253,3082,291,93,44,760,174,751,172,323,103,428,122,9,14,71,58,71,58,37,36,34,48,0,18,442,136,442,136,442,136,0,18,0,18,99,54,99,54,50,39,49,33,0,18,117,52
0500000US01089,"Madison County, Alabama",167817,1864,165604,1852,157198,1904,8406,703,2213,367,147251,1981,145401,1955,137748,1989,7653,664,1850,337,10650,879,10431,863,9789,814,642,269,219,104,354,126,338,122,338,122,0,27,16,26,1425,339,1407,342,1398,344,9,14,18,27,2453,452,2343,470,2241,462,102,103,110,76,5684,585
0500000US01091,"Marengo County, Alabama",6542,384,6369,376,4250,383,2119,270,173,83,5755,366,5601,361,3641,371,1960,259,154,81,371,112,356,107,229,88,127,64,15,20,0,18,0,18,0,18,0,18,0,18,81,41,81,41,81,41,0,18,0,18,151,103,147,101,115,86,32,49,4,6,184,92
0500000US01093,"Marion County, Alabama",11629,431,11080,439,7834,525,3246,372,549,153,9919,519,9483,513,6583,558,2900,339,436,142,1176,229,1098,211,782,183,316,137,78,62,5,7,5,7,5,7,0,24,0,24,62,39,62,39,62,39,0,24,0,24,184,71,149,63,119,59,30,33,35,29,283,127
0500000US01095,"Marshall County, Alabama",37835,791,37254,773,27862,915,9392,618,581,198,32069,772,31601,766,23636,803,7965,616,468,187,4086,437,4002,430,2670,310,1332,291,84,64,112,43,112,43,63,48,49,45,0,27,505,175,490,172,490,172,0,27,15,16,157,66,143,57,97,40,46,37,14,19,906,195
0500000US01097,"Mobile County, Alabama",171077,1828,161245,1918,154330,2047,6915,631,9832,896,147231,2141,138848,2208,132665,2328,6183,611,8383,721,12580,854,11585,792,10909,772,676,188,995,299,839,224,745,209,730,211,15,24,94,82,1947,399,1872,406,1872,406,0,27,75,61,1383,256,1098,240,1057,231,41,33,285,104,7097,804
0500000US01099,"Monroe County, Alabama",6111,484,6014,477,4784,400,1230,218,97,52,5569,469,5489,462,4309,395,1180,215,80,50,221,89,212,89,187,81,25,23,9,11,16,28,16,28,7,13,9,16,0,21,75,45,75,45,71,44,4,8,0,21,66,49,58,45,46,42,12,13,8,10,164,87
0500000US01101,"Montgomery County, Alabama",99969,1450,99049,1457,91052,1543,7997,743,920,184,84790,1499,84082,1531,77068,1519,7014,579,708,170,9044,735,8947,723,8058,691,889,317,97,90,665,193,665,193,603,170,62,59,0,27,1402,268,1384,265,1373,261,11,18,18,20,682,187,585,158,564,156,21,25,97,72,3386,403
0500000US01103,"Morgan County, Alabama",49709,1134,49110,1137,33665,1154,15445,799,599,171,44597,1221,44068,1226,29716,1101,14352,783,529,163,3533,451,3492,455,2521,425,971,272,41,36,60,83,60,83,60,83,0,27,0,27,374,226,361,225,344,227,17,29,13,21,408,158,392,159,287,143,105,86,16,27,737,193
0500000US01105,"Perry County, Alabama",2439,462,2439,462,1396,374,1043,293,0,16,2067,431,2067,431,1116,333,951,309,0,16,214,132,214,132,129,105,85,66,0,16,0,16,0,16,0,16,0,16,0,16,48,35,48,35,48,35,0,16,0,16,106,86,106,86,99,84,7,12,0,16,4,10
0500000US01107,"Pickens County, Alabama",6775,339,5967,397,3274,311,2693,332,808,173,5595,356,4901,375,2544,284,2357,307,694,167,717,176,608,173,281,113,327,123,109,72,62,75,57,75,57,75,0,21,5,8,106,75,106,75,106,75,0,21,0,21,22,23,22,23,13,15,9,16,0,21,273,126
0500000US01109,"Pike County, Alabama",14028,700,13894,698,11951,641,1943,331,134,71,11866,686,11829,684,10121,627,1708,325,37,31,1105,305,1045,296,858,296,187,88,60,55,3,3,3,3,3,3,0,24,0,24,305,107,279,107,238,94,41,51,26,32,109,52,98,52,91,50,7,11,11,14,640,217
0500000US01111,"Randolph County, Alabama",8400,387,6381,392,4946,364,1435,245,2019,319,7178,354,5367,362,4146,335,1221,222,1811,283,767,218,583,174,379,146,204,103,184,87,10,16,10,16,0,21,10,16,0,21,32,31,31,31,31,31,0,21,1,4,81,61,58,51,58,51,0,21,23,37,332,126
0500000US01113,"Russell County, Alabama",23772,871,9061,689,7099,556,1962,349,14711,802,20446,887,7186,656,5462,525,1724,343,13260,744,2010,369,820,188,630,195,190,100,1190,307,62,48,51,44,34,34,17,26,11,18,325,142,220,132,220,132,0,27,105,96,254,123,109,81,78,74,31,34,145,89,675,216
0500000US01115,"St. Clair County, Alabama",37923,874,37351,873,14373,968,22978,1122,572,198,32792,913,32294,900,11339,898,20955,1027,498,201,3265,619,3199,599,1371,429,1828,428,66,62,53,48,53,48,12,21,41,44,0,27,217,117,217,117,217,117,0,27,0,27,488,193,480,192,326,152,154,112,8,13,1108,270
0500000US01117,"Shelby County, Alabama",102784,1161,101230,1246,52701,1551,48529,1361,1554,313,88620,1273,87437,1321,42666,1221,44771,1364,1183,259,7474,709,7357,711,3793,495,3564,440,117,85,94,73,94,73,65,63,29,39,0,27,715,180,650,174,600,171,50,53,65,61,798,224,609,203,494,195,115,71,189,86,5083,509
0500000US01119,"Sumter County, Alabama",4239,350,3718,346,2603,300,1115,244,521,136,3703,338,3223,335,2168,283,1055,241,480,128,310,145,269,142,213,135,56,39,41,27,13,21,13,21,13,21,0,18,0,18,132,77,132,77,132,77,0,18,0,18,4,8,4,8,0,18,4,8,0,18,77,41
0500000US01121,"Talladega County, Alabama",30156,952,29635,903,19337,920,10298,690,521,163,25241,970,24768,932,15869,836,8899,629,473,157,3121,441,3073,424,1774,389,1299,261,48,46,145,121,145,121,145,121,0,27,0,27,494,223,494,223,494,223,0,27,0,27,358,167,358,167,258,153,100,83,0,27,797,238
0500000US01123,"Tallapoosa County, Alabama",15124,561,14783,575,9868,556,4915,439,341,127,12852,594,12540,596,8254,549,4286,424,312,125,1534,259,1531,259,934,227,597,168,3,5,14,17,14,17,3,4,11,17,0,24,132,70,121,70,121,70,0,24,11,14,153,77,138,73,117,67,21,28,15,20,439,151
0500000US01125,"Tuscaloosa County, Alabama",89791,1410,89020,1415,80758,1444,8262,600,771,176,76817,1573,76217,1554,68880,1505,7337,595,600,145,7594,735,7495,743,6795,752,700,208,99,73,435,146,427,147,291,103,136,101,8,17,1323,292,1306,294,1236,298,70,76,17,18,854,196,807,203,788,202,19,23,47,35,2768,474
0500000US01127,"Walker County, Alabama",23873,775,23528,774,16197,736,7331,589,345,129,20475,779,20280,776,13750,688,6530,528,195,89,2508,422,2452,423,1678,376,774,242,56,51,63,61,61,61,61,61,0,27,2,4,268,123,259,122,259,122,0,27,9,13,220,101,137,74,110,65,27,35,83,64,339,120
0500000US01129,"Washington County, Alabama",5612,347,5064,361,2705,340,2359,385,548,175,4670,362,4217,353,2198,288,2019,355,453,157,755,207,695,202,355,150,340,132,60,44,0,18,0,18,0,18,0,18,0,18,12,15,12,15,12,15,0,18,0,18,73,60,38,48,38,48,0,18,35,38,102,69
0500000US01131,"Wilcox County, Alabama",2888,251,2811,242,1746,198,1065,191,77,61,2565,256,2497,248,1515,173,982,189,68,61,218,97,209,99,141,96,68,46,9,13,0,18,0,18,0,18,0,18,0,18,29,25,29,25,14,14,15,21,0,18,6,9,6,9,6,9,0,18,0,18,70,40
0500000US01133,"Winston County, Alabama",8476,365,8378,368,4781,395,3597,336,98,47,6997,368,6938,372,3919,352,3019,308,59,41,1061,237,1055,237,490,165,565,163,6,10,2,3,2,3,2,3,0,21,0,21,62,47,62,47,62,47,0,21,0,21,155,77,122,68,109,65,13,21,33,31,199,87
0500000US02013,"Aleutians East Borough, Alaska",2388,148,2388,148,2386,149,2,3,0,9,630,130,630,130,630,130,0,9,0,9,138,36,138,36,138,36,0,9,0,9,2,3,2,3,2,3,0,9,0,9,1414,315,1414,315,1414,315,0,9,0,9,78,20,78,20,76,19,2,3,0,9,126,64
0500000US02016,"Aleutians West Census Area, Alaska",3960,145,3937,142,3926,142,11,11,23,36,1797,214,1777,212,1770,213,7,10,20,29,357,62,354,61,351,62,3,3,3,7,6,11,6,11,6,11,0,12,0,12,1649,309,1649,309,1649,309,0,12,0,12,123,39,123,39,122,39,1,2,0,12,28,10
0500000US02020,"Anchorage Municipality, Alaska",157670,1262,157030,1281,151120,1402,5910,716,640,169,119552,1532,119318,1537,116845,1539,2473,436,234,82,18447,1155,18363,1161,17540,1118,823,268,84,50,2733,451,2720,452,2438,425,282,137,13,21,5377,568,5307,563,4694,553,613,229,70,71,5589,559,5350,565,3631,412,1719,286,239,108,5972,583
0500000US02050,"Bethel Census Area, Alaska",5810,217,5810,217,5761,212,49,66,0,14,1444,203,1444,203,1412,194,32,64,0,14,791,171,791,171,789,170,2,3,0,14,32,17,32,17,30,17,2,3,0,14,1792,133,1792,133,1788,133,4,3,0,14,1511,142,1511,142,1502,141,9,6,0,14,240,70
0500000US02060,"Bristol Bay Borough, Alaska",511,61,511,61,485,62,26,10,0,9,301,39,301,39,289,41,12,8,0,9,82,24,82,24,82,24,0,9,0,9,1,3,1,3,1,3,0,9,0,9,90,37,90,37,87,37,3,4,0,9,21,10,21,10,10,8,11,5,0,9,16,21
0500000US02068,"Denali Borough, Alaska",1538,503,1538,503,1486,518,52,27,0,9,539,156,539,156,496,149,43,21,0,9,135,68,135,68,135,68,0,9,0,9,7,11,7,11,5,7,2,8,0,9,714,761,714,761,708,763,6,8,0,9,17,18,17,18,16,18,1,3,0,9,126,95
