GEO_ID,NAME,B08130_001E,B08130_001M,B08130_002E,B08130_002M,B08130_003E,B08130_003M,B08130_004E,B08130_004M,B08130_005E,B08130_005M,B08130_006E,B08130_006M,B08130_007E,B08130_007M,B08130_008E,B08130_008M,B08130_009E,B08130_009M,B08130_010E,B08130_010M,B08130_011E,B08130_011M,B08130_012E,B08130_012M,B08130_013E,B08130_013M,B08130_014E,B08130_014M,B08130_015E,B08130_015M,B08130_016E,B08130_016M,B08130_017E,B08130_017M,B08130_018E,B08130_018M,B08130_019E,B08130_019M,B08130_020E,B08130_020M,B08130_021E,B08130_021M,B08130_022E,B08130_022M,B08130_023E,B08130_023M,B08130_024E,B08130_024M,B08130_025E,B08130_025M,B08130_026E,B08130_026M,B08130_027E,B08130_027M,B08130_028E,B08130_028M,B08130_029E,B08130_029M,B08130_030E,B08130_030M,B08130_031E,B08130_031M
0500000US37199,"Yancey County, North Carolina",6812,375,6545,393,3910,359,2635,295,267,95,5547,351,5367,350,3060,318,2307,268,180,79,643,170,556,166,287,112,269,106,87,70,0,19,0,19,0,19,0,19,0,19,192,100,192,100,168,92,24,38,0,19,85,54,85,54,50,43,35,39,0,19,345,90
0500000US38001,"Adams County, North Dakota",1271,85,1162,77,1009,94,153,54,109,62,939,98,832,92,699,94,133,52,107,62,119,43,119,43,99,45,20,17,0,9,7,12,7,12,7,12,0,9,0,9,76,34,76,34,76,34,0,9,0,9,37,29,35,29,35,29,0,9,2,3,93,40
0500000US38003,"Barnes County, North Dakota",5624,206,5575,214,4806,235,769,120,49,48,4372,253,4368,253,3698,248,670,130,4,9,572,156,561,155,479,133,82,66,11,16,56,50,24,19,17,16,7,11,32,44,308,94,308,94,300,92,8,11,0,15,72,39,70,39,68,39,2,3,2,3,244,62
0500000US38005,"Benson County, North Dakota",2349,87,2340,88,1685,88,655,86,9,8,1737,115,1728,115,1139,81,589,89,9,8,213,44,213,44,161,41,52,21,0,13,13,12,13,12,13,12,0,13,0,13,126,36,126,36,121,35,5,7,0,13,36,14,36,14,27,12,9,7,0,13,224,44
0500000US38007,"Billings County, North Dakota",485,65,483,66,263,65,220,48,2,3,318,57,316,58,113,44,203,48,2,3,35,18,35,18,23,15,12,9,0,9,10,9,10,9,5,5,5,5,0,9,47,31,47,31,47,31,0,9,0,9,9,14,9,14,9,14,0,9,0,9,66,35
0500000US38009,"Bottineau County, North Dakota",3246,170,3227,171,2491,197,736,117,19,24,2466,159,2456,157,1827,174,629,106,10,11,299,84,290,81,183,63,107,44,9,20,0,13,0,13,0,13,0,13,0,13,203,92,203,92,203,92,0,13,0,13,23,18,23,18,23,18,0,13,0,13,255,69
0500000US38011,"Bowman County, North Dakota",1729,115,1676,120,1551,120,125,36,53,30,1339,96,1297,98,1193,96,104,34,42,25,131,45,120,42,101,41,19,12,11,13,0,9,0,9,0,9,0,9,0,9,92,38,92,38,92,38,0,9,0,9,27,17,27,17,25,17,2,3,0,9,140,45
0500000US38013,"Burke County, North Dakota",1115,71,1111,71,751,68,360,51,4,6,816,73,812,72,500,65,312,50,4,6,116,37,116,37,72,28,44,23,0,9,0,9,0,9,0,9,0,9,0,9,89,32,89,32,85,32,4,8,0,9,7,6,7,6,7,6,0,9,0,9,87,27
0500000US38015,"Burleigh County, North Dakota",50211,733,49966,747,43262,858,6704,496,245,123,42657,791,42433,808,36872,841,5561,446,224,119,4380,485,4380,485,3279,456,1101,241,0,22,130,92,130,92,130,92,0,22,0,22,757,177,746,175,715,170,31,30,11,17,447,140,437,136,426,136,11,13,10,16,1840,296
0500000US38017,"Cass County, North Dakota",98694,1089,91203,1181,88684,1230,2519,466,7491,679,81922,1240,75256,1374,73187,1406,2069,456,6666,668,8429,864,7745,847,7352,832,393,147,684,199,922,241,878,235,851,230,27,25,44,42,2699,402,2646,409,2616,400,30,28,53,38,1443,284,1399,287,1399,287,0,22,44,39,3279,517
0500000US38019,"Cavalier County, North Dakota",1855,107,1845,106,1607,97,238,70,10,11,1542,117,1532,117,1320,97,212,69,10,11,78,43,78,43,60,42,18,15,0,9,0,9,0,9,0,9,0,9,0,9,85,35,85,35,77,35,8,9,0,9,9,9,9,9,9,9,0,9,0,9,141,51
0500000US38021,"Dickey County, North Dakota",2568,116,2420,120,2138,128,282,77,148,59,1881,150,1794,147,1590,144,204,54,87,39,283,77,222,68,153,45,69,51,61,45,4,11,4,11,4,11,0,13,0,13,225,91,225,91,216,90,9,15,0,13,16,18,16,18,16,18,0,13,0,13,159,42
0500000US38023,"Divide County, North Dakota",1187,96,1179,98,1037,104,142,51,8,13,796,87,788,87,689,84,99,45,8,13,143,55,143,55,103,48,40,30,0,9,0,9,0,9,0,9,0,9,0,9,48,35,48,35,45,37,3,4,0,9,3,5,3,5,3,5,0,9,0,9,197,71
0500000US38025,"Dunn County, North Dakota",2053,100,2021,103,1370,116,651,76,32,37,1445,119,1413,118,828,118,585,79,32,37,196,61,196,61,134,54,62,30,0,9,11,15,11,15,11,15,0,9,0,9,121,42,121,42,121,42,0,9,0,9,53,32,53,32,49,32,4,5,0,9,227,63
0500000US38027,"Eddy County, North Dakota",1166,72,1165,73,803,77,362,54,1,2,798,68,797,69,491,69,306,52,1,2,125,47,125,47,77,39,48,24,0,9,0,9,0,9,0,9,0,9,0,9,106,37,106,37,98,35,8,11,0,9,43,36,43,36,43,36,0,9,0,9,94,27
0500000US38029,"Emmons County, North Dakota",1441,110,1400,112,1245,116,155,43,41,19,976,108,943,108,803,103,140,40,33,17,69,26,66,26,53,23,13,9,3,7,1,4,1,4,1,4,0,9,0,9,163,58,161,57,159,57,2,3,2,3,9,7,6,6,6,6,0,9,3,4,223,48
0500000US38031,"Foster County, North Dakota",1757,87,1751,88,1500,90,251,54,6,7,1425,100,1421,101,1201,99,220,54,4,6,122,35,122,35,96,35,26,21,0,9,0,9,0,9,0,9,0,9,0,9,91,39,91,39,86,37,5,8,0,9,19,17,17,16,17,16,0,9,2,3,100,53
0500000US38033,"Golden Valley County, North Dakota",992,91,921,82,850,84,71,32,71,33,685,103,631,93,560,92,71,32,54,31,77,47,60,41,60,41,0,9,17,20,0,9,0,9,0,9,0,9,0,9,88,45,88,45,88,45,0,9,0,9,26,25,26,25,26,25,0,9,0,9,116,38
0500000US38035,"Grand Forks County, North Dakota",38589,654,36198,677,34821,683,1377,261,2391,331,31662,669,29543,675,28483,643,1060,229,2119,306,2993,412,2850,423,2600,386,250,130,143,80,311,94,244,87,201,87,43,45,67,63,1524,223,1508,222,1494,220,14,14,16,20,753,271,707,274,697,273,10,16,46,34,1346,197
0500000US38037,"Grant County, North Dakota",1145,62,1139,62,906,65,233,34,6,7,695,59,689,59,498,63,191,30,6,7,70,20,70,20,37,14,33,16,0,9,0,9,0,9,0,9,0,9,0,9,91,22,91,22,88,22,3,3,0,9,16,10,16,10,10,8,6,5,0,9,273,50
0500000US38039,"Griggs County, North Dakota",1150,80,1150,80,893,89,257,61,0,9,855,75,855,75,652,75,203,55,0,9,118,61,118,61,64,40,54,35,0,9,2,3,2,3,2,3,0,9,0,9,78,30,78,30,78,30,0,9,0,9,3,4,3,4,3,4,0,9,0,9,94,42
0500000US38041,"Hettinger County, North Dakota",1171,96,1158,99,814,82,344,54,13,12,917,86,904,89,584,72,320,52,13,12,65,24,65,24,41,17,24,18,0,9,10,12,10,12,10,12,0,9,0,9,105,41,105,41,105,41,0,9,0,9,3,4,3,4,3,4,0,9,0,9,71,25
0500000US38043,"Kidder County, North Dakota",1266,70,1250,74,858,88,392,72,16,14,725,79,718,82,476,72,242,53,7,11,255,64,255,64,110,47,145,62,0,9,6,8,6,8,6,8,0,9,0,9,117,33,117,33,117,33,0,9,0,9,26,14,17,10,12,8,5,7,9,9,137,33
0500000US38045,"LaMoure County, North Dakota",1989,93,1979,95,1543,98,436,63,10,7,1390,96,1380,98,995,92,385,60,10,7,131,35,131,35,87,26,44,21,0,9,0,9,0,9,0,9,0,9,0,9,195,47,195,47,188,48,7,8,0,9,14,11,14,11,14,11,0,9,0,9,259,58
0500000US38047,"Logan County, North Dakota",1013,68,1011,68,816,77,195,50,2,3,590,67,588,67,426,62,162,48,2,3,86,34,86,34,56,29,30,20,0,9,0,9,0,9,0,9,0,9,0,9,158,43,158,43,155,43,3,3,0,9,10,6,10,6,10,6,0,9,0,9,169,51
0500000US38049,"McHenry County, North Dakota",2968,110,2954,112,1524,112,1430,115,14,11,2242,121,2231,122,1011,107,1220,111,11,11,232,57,229,56,45,25,184,52,3,4,0,13,0,13,0,13,0,13,0,13,256,58,256,58,235,58,21,18,0,13,31,17,31,17,26,17,5,5,0,13,207,51
0500000US38051,"McIntosh County, North Dakota",1353,53,1331,59,1264,64,67,25,22,20,932,72,922,71,859,74,63,25,10,10,84,27,84,27,80,27,4,6,0,9,3,4,3,4,3,4,0,9,0,9,181,39,181,39,181,39,0,9,0,9,34,23,22,13,22,13,0,9,12,16,119,40
0500000US38053,"McKenzie County, North Dakota",5845,277,5564,295,4895,321,669,165,281,73,4598,358,4363,365,3771,370,592,148,235,68,498,144,462,145,388,144,74,50,36,38,43,27,35,28,35,28,0,15,8,12,193,77,191,78,188,77,3,6,2,3,41,31,41,31,41,31,0,15,0,15,472,208
0500000US38055,"McLean County, North Dakota",4653,140,4636,140,3277,138,1359,107,17,16,3330,122,3321,122,2171,107,1150,90,9,9,455,86,453,85,278,66,175,49,2,4,21,17,21,17,18,16,3,5,0,13,233,47,233,47,208,43,25,22,0,13,43,22,37,21,31,20,6,6,6,9,571,105
0500000US38057,"Mercer County, North Dakota",4388,182,4383,183,3840,204,543,106,5,9,3561,221,3561,221,3083,233,478,93,0,13,360,99,360,99,298,91,62,42,0,13,19,17,19,17,19,17,0,13,0,13,166,72,161,71,158,71,3,3,5,9,81,66,81,66,81,66,0,13,0,13,201,71
0500000US38059,"Morton County, North Dakota",17049,463,17033,463,7631,589,9402,517,16,19,14333,508,14319,509,5941,529,8378,543,14,19,1471,312,1471,312,478,203,993,250,0,20,1,2,1,2,1,2,0,20,0,20,265,109,265,109,261,107,4,4,0,20,114,93,112,93,85,62,27,42,2,3,865,192
0500000US38061,"Mountrail County, North Dakota",4724,204,4717,203,4120,239,597,121,7,10,3609,225,3602,224,3112,251,490,110,7,10,460,114,460,114,385,102,75,54,0,13,28,28,28,28,26,29,2,4,0,13,254,85,254,85,224,78,30,22,0,13,26,28,26,28,26,28,0,13,0,13,347,119
0500000US38063,"Nelson County, North Dakota",1515,56,1498,58,1092,96,406,90,17,12,1085,114,1075,115,729,66,346,99,10,7,159,63,158,60,102,47,56,24,1,3,1,2,1,2,1,2,0,9,0,9,88,26,88,26,87,25,1,3,0,9,61,55,55,53,52,53,3,3,6,9,121,42
0500000US38065,"Oliver County, North Dakota",901,68,895,68,468,69,427,59,6,6,606,70,600,69,225,55,375,56,6,6,104,43,104,43,55,37,49,23,0,9,0,9,0,9,0,9,0,9,0,9,17,12,17,12,14,11,3,5,0,9,16,14,16,14,16,14,0,9,0,9,158,38
0500000US38067,"Pembina County, North Dakota",3512,116,3457,116,3018,132,439,76,55,23,2732,135,2682,135,2319,141,363,65,50,21,363,65,358,65,318,63,40,20,5,8,0,13,0,13,0,13,0,13,0,13,161,46,161,46,147,42,14,19,0,13,45,24,45,24,23,15,22,18,0,13,211,55
0500000US38069,"Pierce County, North Dakota",1948,143,1933,146,1559,180,374,93,15,22,1621,133,1606,136,1247,172,359,89,15,22,90,52,90,52,75,49,15,15,0,9,0,9,0,9,0,9,0,9,0,9,102,46,102,46,102,46,0,9,0,9,0,9,0,9,0,9,0,9,0,9,135,51
